chain,region,price_class,current_products,stale_products,unknown_products,known_not_carried,oldest_current_observed_at,scope_proof,permission_id
bunnpris,no-0301-oslo,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1;2
bunnpris,no-0301-oslo,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,7
bunnpris,no-4601-bergen,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1;2
bunnpris,no-4601-bergen,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,7
bunnpris,no-5001-trondheim,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1;2
bunnpris,no-5001-trondheim,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,7
rema-1000,no-0301-oslo,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1;2
rema-1000,no-0301-oslo,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
rema-1000,no-4601-bergen,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1;2
rema-1000,no-4601-bergen,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
rema-1000,no-5001-trondheim,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1;2
rema-1000,no-5001-trondheim,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
extra,no-0301-oslo,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1;2
extra,no-0301-oslo,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
extra,no-4601-bergen,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1;2
extra,no-4601-bergen,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
extra,no-5001-trondheim,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1;2
extra,no-5001-trondheim,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
meny,no-0301-oslo,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1
meny,no-0301-oslo,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
meny,no-4601-bergen,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1
meny,no-4601-bergen,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
meny,no-5001-trondheim,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1
meny,no-5001-trondheim,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
spar,no-0301-oslo,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1
spar,no-0301-oslo,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
spar,no-4601-bergen,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1
spar,no-4601-bergen,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
spar,no-5001-trondheim,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1
spar,no-5001-trondheim,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
joker,no-0301-oslo,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1
joker,no-0301-oslo,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
joker,no-4601-bergen,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1
joker,no-4601-bergen,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
joker,no-5001-trondheim,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1
joker,no-5001-trondheim,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
europris,no-0301-oslo,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1
europris,no-0301-oslo,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
europris,no-4601-bergen,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1
europris,no-4601-bergen,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
europris,no-5001-trondheim,ordinary,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,1
europris,no-5001-trondheim,official_offer,0,0,1139,0,,blocked: only no-national scope; municipality applicability unproven,
